smiles1,pKa,pKa_type,smiles
C=CC(Cl)C(=O)[O-],2.54,acidic,C=CC(Cl)C(=O)[O-]
C=CC12CCC(=O)C=C1c1c(cc(OCC(=O)[O-])c(Cl)c1Cl)C2,3.5,acidic,C=CC12CCC(=O)C=C1c1c(cc(OCC(=O)[O-])c(Cl)c1Cl)C2
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,3.35,acidic,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1
C=CCC(=O)O,4.34,acidic,C=CCC(=O)O
C=CCC(=O)[O-],4.33,acidic,C=CCC(=O)[O-]
C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,4.74,acidic,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
C=CCC1(CC=C)SC(=O)[N-]C1=O,6.1,acidic,C=CCC1(CC=C)SC(=O)[N-]C1=O
C=CCCC(=O)O,4.68,acidic,C=CCCC(=O)O
C=CCCC(=O)[O-],4.68,acidic,C=CCCC(=O)[O-]
C=CCOc1ccc(C(=O)O)cc1,4.45,acidic,C=CCOc1ccc(C(=O)O)cc1
C=CCOc1ccc(C(=O)[O-])cc1,4.45,acidic,C=CCOc1ccc(C(=O)[O-])cc1
C=CCOc1ccc(CC(=O)O)cc1Cl,4.29,acidic,C=CCOc1ccc(CC(=O)O)cc1Cl
C=CCc1c(C)[nH]n(C)c1=O,10.5,acidic,C=CCc1c(C)[nH]n(C)c1=O
C=CCc1ccc(O)c(OC)c1,10.19,acidic,C=CCc1ccc(O)c(OC)c1
C=CCc1ccccc1O,10.28,acidic,C=CCc1ccccc1O
C=C[C@@H]1CNC(=S)O1,10.25,acidic,C=C[C@@H]1CNC(=S)O1
C=Cc1ccc(O)cc1,9.91,acidic,C=Cc1ccc(O)cc1
CC#C/C=C/C(=O)[O-],4.2,acidic,CC#C/C=C/C(=O)[O-]
CC#CC#CCC(=O)O,3.23,acidic,CC#CC#CCC(=O)O
CC#CC#CCC(=O)[O-],3.23,acidic,CC#CC#CCC(=O)[O-]
CC#CC(=O)O,2.63,acidic,CC#CC(=O)O
CC#CC(=O)[O-],2.63,acidic,CC#CC(=O)[O-]
CC#CCC(=O)O,3.6,acidic,CC#CCC(=O)O
CC#CCC(=O)[O-],3.6,acidic,CC#CCC(=O)[O-]
CC#C[C@@H](CC(=O)[O-])c1ccc(OCc2ccc(CN3CCCc4cccc(OC)c43)s2)cc1,3.4,acidic,CC#C[C@@H](CC(=O)[O-])c1ccc(OCc2ccc(CN3CCCc4cccc(OC)c43)s2)cc1
CC#C[C@@H](CC(=O)[O-])c1ccc(OCc2ccc(N3CCC4(CCc5ccccc54)CC3)s2)cc1,3.4,acidic,CC#C[C@@H](CC(=O)[O-])c1ccc(OCc2ccc(N3CCC4(CCc5ccccc54)CC3)s2)cc1
CC#C[C@@H](CC(=O)[O-])c1ccc(OCc2ccc3nc(-c4c(C)cccc4C)nn3c2)cc1,4.3,acidic,CC#C[C@@H](CC(=O)[O-])c1ccc(OCc2ccc3nc(-c4c(C)cccc4C)nn3c2)cc1
CC(=O)/C=C(/C)O,7.64,acidic,CC(=O)/C=C(/C)O
