smiles1,pKa,pKa_type,smiles
CCC1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccccc3)ccc2NC1=O,8.7,acidic,CCC1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccccc3)ccc2NC1=O
CCC1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccccc3Cl)ccc2NC1=O,7.2,acidic,CCC1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccccc3Cl)ccc2NC1=O
CCC1(C)OC(=O)[N-]C1=O,6,acidic,CCC1(C)OC(=O)[N-]C1=O
CCC1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O,3.9,acidic,CCC1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O
CCC1(C2CCCC2)Cc2cc(OCC(=O)[O-])c(Cl)c(Cl)c2C1=O,3.9,acidic,CCC1(C2CCCC2)Cc2cc(OCC(=O)[O-])c(Cl)c(Cl)c2C1=O
CCC1(C2CCCC2)Cc2cc(OCCCC(=O)[O-])c(Cl)c(Cl)c2C1=O,3.8,acidic,CCC1(C2CCCC2)Cc2cc(OCCCC(=O)[O-])c(Cl)c(Cl)c2C1=O
CCC1(CC)C(=O)[N-]C(=O)N(C(=O)c2ccccc2OC)C1=O,6.54,acidic,CCC1(CC)C(=O)[N-]C(=O)N(C(=O)c2ccccc2OC)C1=O
CCC1(CC)CNc2ccc(S(=O)(=O)Nc3ccc(F)cc3F)cc2C(=O)N1,8,acidic,CCC1(CC)CNc2ccc(S(=O)(=O)Nc3ccc(F)cc3F)cc2C(=O)N1
CCC1(CC)OC(=O)[N-]C1=O,5.7,acidic,CCC1(CC)OC(=O)[N-]C1=O
CCC1(CC)SC(=O)[N-]C1=O,6.42,acidic,CCC1(CC)SC(=O)[N-]C1=O
CCC1(c2ccccc2)C(=O)NC(=S)N(C)C1=O,7.65,acidic,CCC1(c2ccccc2)C(=O)NC(=S)N(C)C1=O
CCC12C=CC(=O)C=C1c1c(cc(OCC(=O)[O-])c(Cl)c1Cl)C2,3.7,acidic,CCC12C=CC(=O)C=C1c1c(cc(OCC(=O)[O-])c(Cl)c1Cl)C2
CCC12CCC(=O)C=C1c1c(cc(OCC(=O)O)c(Cl)c1Cl)C2,3.6,acidic,CCC12CCC(=O)C=C1c1c(cc(OCC(=O)O)c(Cl)c1Cl)C2
CCC12CCC(=O)C=C1c1c(cc(OCC(=O)OC(C)(C)C(=O)[O-])c(Cl)c1Cl)C2,3.8,acidic,CCC12CCC(=O)C=C1c1c(cc(OCC(=O)OC(C)(C)C(=O)[O-])c(Cl)c1Cl)C2
CCC12CCC(=O)C=C1c1c(cc(OCC(=O)OCC(=O)[O-])c(Cl)c1Cl)C2,3.8,acidic,CCC12CCC(=O)C=C1c1c(cc(OCC(=O)OCC(=O)[O-])c(Cl)c1Cl)C2
CCC12CCC(=O)C=C1c1c(cc(OCC(=O)[O-])c(Cl)c1Cl)C2,3.6,acidic,CCC12CCC(=O)C=C1c1c(cc(OCC(=O)[O-])c(Cl)c1Cl)C2
CCC12CCC(=O)C=C1c1c(cc(OCCCC(=O)[O-])c(Cl)c1Cl)C2,3.7,acidic,CCC12CCC(=O)C=C1c1c(cc(OCCCC(=O)[O-])c(Cl)c1Cl)C2
CCC12CCC(=O)C=C1c1c(cc(OCc3nn[n-]n3)c(Cl)c1Cl)C2,3.72,acidic,CCC12CCC(=O)C=C1c1c(cc(OCc3nn[n-]n3)c(Cl)c1Cl)C2
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,6.2,acidic,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O
CCC1=C([O-])C(CC)C1=O,3.5,acidic,CCC1=C([O-])C(CC)C1=O
CCC1=C([O-])c2ccccc2C1=O,6.5,acidic,CCC1=C([O-])c2ccccc2C1=O
CCCC(=O)NO,9.48,acidic,CCCC(=O)NO
CCCC(=O)O,4.82,acidic,CCCC(=O)O
CCCC(=O)OC(CC(=O)O)C[N+](C)(C)C,3.56,acidic,CCCC(=O)OC(CC(=O)O)C[N+](C)(C)C
CCCC(=O)OO,8.2,acidic,CCCC(=O)OO
CCCC(=O)[O-],4.8,acidic,CCCC(=O)[O-]
CCCC(=O)c1cc(C(C)=O)n[nH]1,9.28,acidic,CCCC(=O)c1cc(C(C)=O)n[nH]1
CCCC(C(=O)O)C(=O)O,2.99,acidic,CCCC(C(=O)O)C(=O)O
CCCC(C(CC)CO)C(CC)C(=O)O,4.78,acidic,CCCC(C(CC)CO)C(CC)C(=O)O
CCCC(C(CC)CO)C(CC)C(=O)[O-],4.78,acidic,CCCC(C(CC)CO)C(CC)C(=O)[O-]
CCCC(C)C(=O)O,4.79,acidic,CCCC(C)C(=O)O
CCCC(CC)C(=O)O,4.71,acidic,CCCC(CC)C(=O)O
CCCC(CCC)C(=O)O,4.6,acidic,CCCC(CCC)C(=O)O
CCCC(CCC)C(=O)[O-],4.8,acidic,CCCC(CCC)C(=O)[O-]
CCCC(O)C(=O)O,3.89,acidic,CCCC(O)C(=O)O
CCCC(O)C(C(=O)[O-])c1ccc(-c2ccccc2)cc1,4.01,acidic,CCCC(O)C(C(=O)[O-])c1ccc(-c2ccccc2)cc1
CCCC1(C2CCCC2)Cc2cc(OCCCC(=O)[O-])c(Cl)c(Cl)c2C1=O,4.1,acidic,CCCC1(C2CCCC2)Cc2cc(OCCCC(=O)[O-])c(Cl)c(Cl)c2C1=O
CCCC1(CCC)SC(=O)[N-]C1=O,6.37,acidic,CCCC1(CCC)SC(=O)[N-]C1=O
CCCC12CC(=O)C=C1c1c(cc(OCC(=O)[O-])c(Cl)c1Cl)C2,3.84,acidic,CCCC12CC(=O)C=C1c1c(cc(OCC(=O)[O-])c(Cl)c1Cl)C2
CCCC12CCC(=O)C(C)=C1c1c(cc(OCC(=O)O)c(Cl)c1Cl)C2,3.5,acidic,CCCC12CCC(=O)C(C)=C1c1c(cc(OCC(=O)O)c(Cl)c1Cl)C2
CCCC12CCC(=O)C(C)=C1c1c(cc(OCC(=O)[O-])c(Cl)c1Cl)C2,3.5,acidic,CCCC12CCC(=O)C(C)=C1c1c(cc(OCC(=O)[O-])c(Cl)c1Cl)C2
CCCC12CCC(=O)C=C1c1c(cc(O)c(Cl)c1Cl)C2,6.18,acidic,CCCC12CCC(=O)C=C1c1c(cc(O)c(Cl)c1Cl)C2
CCCC12CCC(=O)C=C1c1c(cc(OCC(=O)O)c(Cl)c1Cl)C2,3.6,acidic,CCCC12CCC(=O)C=C1c1c(cc(OCC(=O)O)c(Cl)c1Cl)C2
CCCC12CCC(=O)C=C1c1c(cc(OCC(=O)OC(C)(C)C(=O)[O-])c(Cl)c1Cl)C2,3.8,acidic,CCCC12CCC(=O)C=C1c1c(cc(OCC(=O)OC(C)(C)C(=O)[O-])c(Cl)c1Cl)C2
CCCC12CCC(=O)C=C1c1c(cc(OCC(=O)OC(CC)(CC)C(=O)[O-])c(Cl)c1Cl)C2,3.4,acidic,CCCC12CCC(=O)C=C1c1c(cc(OCC(=O)OC(CC)(CC)C(=O)[O-])c(Cl)c1Cl)C2
CCCC12CCC(=O)C=C1c1c(cc(OCC(=O)[O-])c(C)c1C)C2,4.3,acidic,CCCC12CCC(=O)C=C1c1c(cc(OCC(=O)[O-])c(C)c1C)C2
CCCC12CCC(=O)C=C1c1c(cc(OCC(=O)[O-])c(Cl)c1Cl)C2,3.6,acidic,CCCC12CCC(=O)C=C1c1c(cc(OCC(=O)[O-])c(Cl)c1Cl)C2
CCCC12CCC(=O)C=C1c1c(cc(OCCCC(=O)[O-])c(Cl)c1Cl)C2,3.7,acidic,CCCC12CCC(=O)C=C1c1c(cc(OCCCC(=O)[O-])c(Cl)c1Cl)C2
CCCC12CCC(=O)C=C1c1c(cc(SCC(=O)[O-])c(Cl)c1Cl)C2,4.7,acidic,CCCC12CCC(=O)C=C1c1c(cc(SCC(=O)[O-])c(Cl)c1Cl)C2
CCCC12CCC(=O)C=C1c1ccc(OCC(=O)[O-])cc1C2,4.05,acidic,CCCC12CCC(=O)C=C1c1ccc(OCC(=O)[O-])cc1C2
CCCC12CCC(C(C)=O)=C1c1c(cc(OCC(=O)[O-])c(Cl)c1Cl)C2,4.1,acidic,CCCC12CCC(C(C)=O)=C1c1c(cc(OCC(=O)[O-])c(Cl)c1Cl)C2
CCCC1=NC(=O)C(c2ccccc2)=C1[O-],4.6,acidic,CCCC1=NC(=O)C(c2ccccc2)=C1[O-]
CCCCC#CC(=O)[O-],2.61,acidic,CCCCC#CC(=O)[O-]
CCCCC(=O)O,4.84,acidic,CCCCC(=O)O
CCCCC(=O)[O-],4.82,acidic,CCCCC(=O)[O-]
CCCCC(CC)C(=O)O,4.76,acidic,CCCCC(CC)C(=O)O
CCCCC(CC)C(=O)O[C@H]1O[C@@H](C(=O)[O-])[C@H](O)[C@@H](O)[C@@H]1O,3.08,acidic,CCCCC(CC)C(=O)O[C@H]1O[C@@H](C(=O)[O-])[C@H](O)[C@@H](O)[C@@H]1O
CCCCC(CC)C(=O)[O-],4.76,acidic,CCCCC(CC)C(=O)[O-]
CCCCC1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O,3.9,acidic,CCCCC1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O
CCCCC1(C2CCCC2)Cc2cc(OCC(=O)[O-])c(Cl)c(Cl)c2C1=O,3.9,acidic,CCCCC1(C2CCCC2)Cc2cc(OCC(=O)[O-])c(Cl)c(Cl)c2C1=O
CCCCC1(C2CCCC2)Cc2cc(OCCCC(=O)[O-])c(Cl)c(Cl)c2C1=O,4.4,acidic,CCCCC1(C2CCCC2)Cc2cc(OCCCC(=O)[O-])c(Cl)c(Cl)c2C1=O
CCCCC12CCC(=O)C=C1c1c(cc(OCC(=O)[O-])c(Cl)c1Cl)C2,3.5,acidic,CCCCC12CCC(=O)C=C1c1c(cc(OCC(=O)[O-])c(Cl)c1Cl)C2
CCCCCC(=O)NO,9.58,acidic,CCCCCC(=O)NO
CCCCCC(=O)O,4.88,acidic,CCCCCC(=O)O
CCCCCC(=O)[O-],4.85,acidic,CCCCCC(=O)[O-]
CCCCCC(O)=CC(C)=O,9.2,acidic,CCCCCC(O)=CC(C)=O
CCCCCC(O)CCC1CCC(=O)N1CCCCCCC(=O)[O-],5.25,acidic,CCCCCC(O)CCC1CCC(=O)N1CCCCCCC(=O)[O-]
CCCCCC=CCC=CCCCCCCCC(=O)O,4.77,acidic,CCCCCC=CCC=CCCCCCCCC(=O)O
CCCCCCC(=O)NO,9.62,acidic,CCCCCCC(=O)NO
CCCCCCC(=O)O,4.8,acidic,CCCCCCC(=O)O
CCCCCCC(=O)[O-],4.88,acidic,CCCCCCC(=O)[O-]
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CCC(=O)CC21,10.6,acidic,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CCC(=O)CC21
CCCCCCC(C)(C)c1ccc([C@@H]2C[C@H](O)CC[C@H]2CCCO)c(O)c1,11.16,acidic,CCCCCCC(C)(C)c1ccc([C@@H]2C[C@H](O)CC[C@H]2CCCO)c(O)c1
CCCCCCCC(=O)NO,9.19,acidic,CCCCCCCC(=O)NO
CCCCCCCC(=O)N[C@H]1C(=O)N2[C@H]1SC(C)(C)[C@H]2C(=O)[O-],2.66,acidic,CCCCCCCC(=O)N[C@H]1C(=O)N2[C@H]1SC(C)(C)[C@H]2C(=O)[O-]
CCCCCCCC(=O)O,4.89,acidic,CCCCCCCC(=O)O
CCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C,3.6,acidic,CCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C
CCCCCCCC(=O)[O-],4.9,acidic,CCCCCCCC(=O)[O-]
CCCCCCCC/C=C\CCCCCCCC(=O)[O-],4.95,acidic,CCCCCCCC/C=C\CCCCCCCC(=O)[O-]
CCCCCCCCC(=O)O,4.95,acidic,CCCCCCCCC(=O)O
CCCCCCCCC(=O)OO,8.23,acidic,CCCCCCCCC(=O)OO
CCCCCCCCC(=O)[O-],4.9,acidic,CCCCCCCCC(=O)[O-]
CCCCCCCCC1CCC(=O)N1CCCCCCC(=O)[O-],5.6,acidic,CCCCCCCCC1CCC(=O)N1CCCCCCC(=O)[O-]
CCCCCCCCCC(=O)O,4.9,acidic,CCCCCCCCCC(=O)O
CCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C,3.65,acidic,CCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C
CCCCCCCCCC(=O)[O-],4.895,acidic,CCCCCCCCCC(=O)[O-]
CCCCCCCCCCC(=O)[O-],4.9,acidic,CCCCCCCCCCC(=O)[O-]
CCCCCCCCCCCC(=O)O,5.3,acidic,CCCCCCCCCCCC(=O)O
CCCCCCCCCCCC(=O)[O-],4.895,acidic,CCCCCCCCCCCC(=O)[O-]
CCCCCCCCCCCCC(=O)[O-],4.9,acidic,CCCCCCCCCCCCC(=O)[O-]
CCCCCCCCCCCCCC(=O)N(O)c1ccccc1,9.05,acidic,CCCCCCCCCCCCCC(=O)N(O)c1ccccc1
CCCCCCCCCCCCCC(=O)O,4.9,acidic,CCCCCCCCCCCCCC(=O)O
CCCCCCCCCCCCCCC(=O)[O-],5.01,acidic,CCCCCCCCCCCCCCC(=O)[O-]
CCCCCCCCCCCCCCCC(=O)OCC1CCP([O-])(=S)O1,6.48,acidic,CCCCCCCCCCCCCCCC(=O)OCC1CCP([O-])(=S)O1
CCCCCCCCCCCCCCCCCC(=O)OCC1CCP([O-])(=S)O1,6.76,acidic,CCCCCCCCCCCCCCCCCC(=O)OCC1CCP([O-])(=S)O1
CCCCCCCCCCCCCCCCCC(=O)[O-],5.01,acidic,CCCCCCCCCCCCCCCCCC(=O)[O-]
CCCCCCCCCCCCN(Cc1nn[n-]n1)c1ccccc1,4.92,acidic,CCCCCCCCCCCCN(Cc1nn[n-]n1)c1ccccc1
CCCCCCCCCCN(Cc1nn[n-]n1)c1ccccc1,4.87,acidic,CCCCCCCCCCN(Cc1nn[n-]n1)c1ccccc1
CCCCCCCCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1,8.09,acidic,CCCCCCCCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1
CCCCCCCCCCc1c(-c2ccccc2)[nH][nH]c1=O,11,acidic,CCCCCCCCCCc1c(-c2ccccc2)[nH][nH]c1=O
CCCCCCCCCCc1c(-c2ccccc2)[nH]n(-c2ccccc2)c1=O,6.7,acidic,CCCCCCCCCCc1c(-c2ccccc2)[nH]n(-c2ccccc2)c1=O
CCCCCCCCCCc1c(-c2ccccc2)n[nH]c1O,11,acidic,CCCCCCCCCCc1c(-c2ccccc2)n[nH]c1O
CCCCCCCCCCc1c(O)n[nH]c1-c1ccccc1,11,acidic,CCCCCCCCCCc1c(O)n[nH]c1-c1ccccc1
CCCCCCCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1,8.39,acidic,CCCCCCCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1
CCCCCCCCCc1c(-c2ccccc2)[nH][nH]c1=O,10.6,acidic,CCCCCCCCCc1c(-c2ccccc2)[nH][nH]c1=O
CCCCCCCCCc1c(-c2ccccc2)[nH]n(-c2ccccc2)c1=O,7.2,acidic,CCCCCCCCCc1c(-c2ccccc2)[nH]n(-c2ccccc2)c1=O
CCCCCCCCCc1c(-c2ccccc2)n[nH]c1O,10.6,acidic,CCCCCCCCCc1c(-c2ccccc2)n[nH]c1O
CCCCCCCCCc1c(-c2ccccc2)nn(-c2ccccc2)c1O,7.2,acidic,CCCCCCCCCc1c(-c2ccccc2)nn(-c2ccccc2)c1O
CCCCCCCCCc1c(O)n[nH]c1-c1ccccc1,10.6,acidic,CCCCCCCCCc1c(O)n[nH]c1-c1ccccc1
CCCCCCCCCc1ccc(O)cc1,10.25,acidic,CCCCCCCCCc1ccc(O)cc1
CCCCCCCCN(Cc1nn[n-]n1)c1ccccc1,4.83,acidic,CCCCCCCCN(Cc1nn[n-]n1)c1ccccc1
CCCCCCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1,8.09,acidic,CCCCCCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1
CCCCCCCCc1c(-c2ccccc2)[nH][nH]c1=O,10.2,acidic,CCCCCCCCc1c(-c2ccccc2)[nH][nH]c1=O
CCCCCCCCc1c(-c2ccccc2)[nH]n(-c2ccccc2)c1=O,7.5,acidic,CCCCCCCCc1c(-c2ccccc2)[nH]n(-c2ccccc2)c1=O
CCCCCCCCc1c(-c2ccccc2)n[nH]c1O,10.2,acidic,CCCCCCCCc1c(-c2ccccc2)n[nH]c1O
CCCCCCCCc1c(-c2ccccc2)nn(-c2ccccc2)c1O,7.5,acidic,CCCCCCCCc1c(-c2ccccc2)nn(-c2ccccc2)c1O
CCCCCCCCc1c(O)n[nH]c1-c1ccccc1,10.2,acidic,CCCCCCCCc1c(O)n[nH]c1-c1ccccc1
CCCCCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1,8.27,acidic,CCCCCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1
CCCCCCCc1c(-c2ccccc2)[nH][nH]c1=O,9.2,acidic,CCCCCCCc1c(-c2ccccc2)[nH][nH]c1=O
CCCCCCCc1c(-c2ccccc2)[nH]n(-c2ccccc2)c1=O,8,acidic,CCCCCCCc1c(-c2ccccc2)[nH]n(-c2ccccc2)c1=O
CCCCCCCc1c(-c2ccccc2)n[nH]c1O,9.2,acidic,CCCCCCCc1c(-c2ccccc2)n[nH]c1O
CCCCCCCc1c(-c2ccccc2)nn(-c2ccccc2)c1O,8,acidic,CCCCCCCc1c(-c2ccccc2)nn(-c2ccccc2)c1O
CCCCCCCc1c(O)n[nH]c1-c1ccccc1,9.2,acidic,CCCCCCCc1c(O)n[nH]c1-c1ccccc1
CCCCCCN(Cc1nn[n-]n1)c1ccccc1,4.78,acidic,CCCCCCN(Cc1nn[n-]n1)c1ccccc1
CCCCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1,8.52,acidic,CCCCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1
CCCCCCc1c(-c2ccccc2)[nH][nH]c1=O,8.6,acidic,CCCCCCc1c(-c2ccccc2)[nH][nH]c1=O
CCCCCCc1c(-c2ccccc2)[nH]n(-c2ccccc2)c1=O,7.4,acidic,CCCCCCc1c(-c2ccccc2)[nH]n(-c2ccccc2)c1=O
CCCCCCc1c(-c2ccccc2)n[nH]c1O,8.6,acidic,CCCCCCc1c(-c2ccccc2)n[nH]c1O
CCCCCCc1c(-c2ccccc2)nn(-c2ccccc2)c1O,7.4,acidic,CCCCCCc1c(-c2ccccc2)nn(-c2ccccc2)c1O
CCCCCCc1c(O)n[nH]c1-c1ccccc1,8.6,acidic,CCCCCCc1c(O)n[nH]c1-c1ccccc1
CCCCCNC(=O)NS(=O)(=O)c1cc(Cl)ccc1OC,5.46,acidic,CCCCCNC(=O)NS(=O)(=O)c1cc(Cl)ccc1OC
CCCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1,8.47,acidic,CCCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1
CCCCCOc1ccc(C(=O)O)cc1,4.49,acidic,CCCCCOc1ccc(C(=O)O)cc1
CCCCCOc1ccc(C(=O)[O-])cc1,4.49,acidic,CCCCCOc1ccc(C(=O)[O-])cc1
CCCCCOc1ccc(O)cc1,10.23,acidic,CCCCCOc1ccc(O)cc1
CCCCC[C@H](O)/C=C/[C@H]1[C@H](C/C=C/CCCC(=O)O)C(=O)C[C@@H]1O,4.77,acidic,CCCCC[C@H](O)/C=C/[C@H]1[C@H](C/C=C/CCCC(=O)O)C(=O)C[C@@H]1O
CCCCC[C@H](O)/C=C/[C@H]1[C@H](CCCCCCC(=O)O)C(=O)C[C@@H]1O,4.87,acidic,CCCCC[C@H](O)/C=C/[C@H]1[C@H](CCCCCCC(=O)O)C(=O)C[C@@H]1O
CCCCCc1c(-c2ccccc2)[nH][nH]c1=O,8.4,acidic,CCCCCc1c(-c2ccccc2)[nH][nH]c1=O
CCCCCc1c(-c2ccccc2)[nH]n(-c2ccccc2)c1=O,7.3,acidic,CCCCCc1c(-c2ccccc2)[nH]n(-c2ccccc2)c1=O
CCCCCc1c(-c2ccccc2)n[nH]c1O,8.4,acidic,CCCCCc1c(-c2ccccc2)n[nH]c1O
CCCCCc1c(-c2ccccc2)nn(-c2ccccc2)c1O,7.3,acidic,CCCCCc1c(-c2ccccc2)nn(-c2ccccc2)c1O
CCCCCc1c(O)n[nH]c1-c1ccccc1,8.4,acidic,CCCCCc1c(O)n[nH]c1-c1ccccc1
CCCCNC(=O)NO,11,acidic,CCCCNC(=O)NO
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,5.275,acidic,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,3.6,acidic,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
CCCCOC(=O)c1ccc(O)cc1,8.47,acidic,CCCCOC(=O)c1ccc(O)cc1
CCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1,8.07,acidic,CCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1
CCCCOC(=S)[N-]C(C)=O,9.25,acidic,CCCCOC(=S)[N-]C(C)=O
CCCCOc1ccc(C(=O)O)cc1,4.48,acidic,CCCCOc1ccc(C(=O)O)cc1
CCCCOc1ccc(C(=O)[O-])cc1,4.48,acidic,CCCCOc1ccc(C(=O)[O-])cc1
CCCCOc1ccc(O)cc1,10.23,acidic,CCCCOc1ccc(O)cc1
CCCCOc1cccc(C(=O)O)c1,4.25,acidic,CCCCOc1cccc(C(=O)O)c1
CCCCOc1cccc(C(=O)[O-])c1,4.25,acidic,CCCCOc1cccc(C(=O)[O-])c1
CCCCS,10.78,acidic,CCCCS
CCCCS(=O)O,2.2,acidic,CCCCS(=O)O
CCCCS(=O)[O-],2.2,acidic,CCCCS(=O)[O-]
CCCCSCC(=O)O,3.81,acidic,CCCCSCC(=O)O
CCCCSCC(=O)[O-],3.81,acidic,CCCCSCC(=O)[O-]
CCCC[As](=O)([O-])CCCC,6.65,acidic,CCCC[As](=O)([O-])CCCC
CCCC[C@@]1(C2CCCC2)Cc2cc(OCC(=O)[O-])c(Cl)c(Cl)c2C1=O,3.9,acidic,CCCC[C@@]1(C2CCCC2)Cc2cc(OCC(=O)[O-])c(Cl)c(Cl)c2C1=O
CCCC[C@@]1(C2CCCC2)Cc2cc(OCCCC(=O)[O-])c(Cl)c(Cl)c2C1=O,4.4,acidic,CCCC[C@@]1(C2CCCC2)Cc2cc(OCCCC(=O)[O-])c(Cl)c(Cl)c2C1=O
CCCC[C@]1(C2CCCC2)Cc2cc(OCC(=O)[O-])c(Cl)c(Cl)c2C1=O,3.9,acidic,CCCC[C@]1(C2CCCC2)Cc2cc(OCC(=O)[O-])c(Cl)c(Cl)c2C1=O
CCCC[C@]1(C2CCCC2)Cc2cc(OCCCC(=O)[O-])c(Cl)c(Cl)c2C1=O,4.4,acidic,CCCC[C@]1(C2CCCC2)Cc2cc(OCCCC(=O)[O-])c(Cl)c(Cl)c2C1=O
CCCCc1c(-c2ccccc2)[nH][nH]c1=O,8.2,acidic,CCCCc1c(-c2ccccc2)[nH][nH]c1=O
CCCCc1c(-c2ccccc2)[nH]n(-c2ccccc2)c1=O,7.2,acidic,CCCCc1c(-c2ccccc2)[nH]n(-c2ccccc2)c1=O
CCCCc1c(-c2ccccc2)n[nH]c1O,8.2,acidic,CCCCc1c(-c2ccccc2)n[nH]c1O
CCCCc1c(-c2ccccc2)nn(-c2ccccc2)c1O,7.2,acidic,CCCCc1c(-c2ccccc2)nn(-c2ccccc2)c1O
CCCCc1c(C)nc(NCC)[nH]c1=O,8.04,acidic,CCCCc1c(C)nc(NCC)[nH]c1=O
CCCCc1c(O)n[nH]c1-c1ccccc1,8.2,acidic,CCCCc1c(O)n[nH]c1-c1ccccc1
CCCCc1c([O-])n(-c2ccccc2)n(-c2ccccc2)c1=O,4.5,acidic,CCCCc1c([O-])n(-c2ccccc2)n(-c2ccccc2)c1=O
CCCCc1cc(Cl)cc(Cl)c1O,8.1,acidic,CCCCc1cc(Cl)cc(Cl)c1O
CCCCc1ccc(C(=O)O)nc1,5.7,acidic,CCCCc1ccc(C(=O)O)nc1
CCCCc1ccc(C(=O)[O-])nc1,5.7,acidic,CCCCc1ccc(C(=O)[O-])nc1
CCCCc1ccccc1O,10.58,acidic,CCCCc1ccccc1O
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,3.01,acidic,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)[O-])cc1,3.4,acidic,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)[O-])cc1
CCCN=C1Nc2cccc(Cl)c2S(=O)(=O)N1,9.54,acidic,CCCN=C1Nc2cccc(Cl)c2S(=O)(=O)N1
CCCNC(=O)Cn1cccc([O-])c1=O,8.75,acidic,CCCNC(=O)Cn1cccc([O-])c1=O
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,4.9,acidic,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
CCCOC(=O)c1ccc(O)cc1,8.3,acidic,CCCOC(=O)c1ccc(O)cc1
CCCOC(=O)c1ccc(OS(N)(=O)=O)cc1,8.03,acidic,CCCOC(=O)c1ccc(OS(N)(=O)=O)cc1
CCCOC(=S)[N-]C(C)=O,9.34,acidic,CCCOC(=S)[N-]C(C)=O
CCCOc1ccc(C(=O)O)cc1,4.46,acidic,CCCOc1ccc(C(=O)O)cc1
CCCOc1ccc(C(=O)[O-])cc1,4.63,acidic,CCCOc1ccc(C(=O)[O-])cc1
CCCOc1ccc(O)cc1,10.23,acidic,CCCOc1ccc(O)cc1
CCCOc1ccccc1C(=O)O,4.24,acidic,CCCOc1ccccc1C(=O)O
CCCOc1ccccc1C(=O)[O-],4.24,acidic,CCCOc1ccccc1C(=O)[O-]
CCCS,10.56,acidic,CCCS
CCCS(=O)O,2.35,acidic,CCCS(=O)O
CCCS(=O)[O-],2.35,acidic,CCCS(=O)[O-]
CCCSC(C)C(=O)O,3.82,acidic,CCCSC(C)C(=O)O
CCCSC(C)C(=O)[O-],3.82,acidic,CCCSC(C)C(=O)[O-]
CCCSCC(=O)O,3.77,acidic,CCCSCC(=O)O
CCCSCC(=O)[O-],3.77,acidic,CCCSCC(=O)[O-]
CCC[n+]1cccc2c(O)cccc21,6.06,acidic,CCC[n+]1cccc2c(O)cccc21
CCC[n+]1cccc2cc([O-])ccc21,7.08,acidic,CCC[n+]1cccc2cc([O-])ccc21
CCCc1c(-c2ccccc2)[nH][nH]c1=O,8,acidic,CCCc1c(-c2ccccc2)[nH][nH]c1=O
CCCc1c(-c2ccccc2)[nH]n(-c2ccccc2)c1=O,7,acidic,CCCc1c(-c2ccccc2)[nH]n(-c2ccccc2)c1=O
CCCc1c(-c2ccccc2)n[nH]c1O,8,acidic,CCCc1c(-c2ccccc2)n[nH]c1O
CCCc1c(-c2ccccc2)nn(-c2ccccc2)c1O,7,acidic,CCCc1c(-c2ccccc2)nn(-c2ccccc2)c1O
CCCc1c(O)n[nH]c1-c1ccccc1,8,acidic,CCCc1c(O)n[nH]c1-c1ccccc1
